date,ALGO,BENCH_DATASET,market,benchmark,feat,label,params,days,init wealth,final wealth,total wealth,turnover rate,total turnover,cost rate,total cost,bench return rate,total return w cost,annualized return w cost,annualized volatility w cost,annualized sharpe ratio w cost,excess total return w cost,excess annualized return w cost,excess annualized volatility w cost,excess annualized sharpe ratio w cost,information ratio w cost,max drawdown w cost,total return wo cost,annualized return wo cost,annualized volatility wo cost,annualized sharpe ratio wo cost,excess total return wo cost,excess annualized return wo cost,excess annualized volatility wo cost,excess annualized sharpe ratio wo cost,information ratio wo cost,max drawdown wo cost,IC,rank IC,RMSE,MAE,EXP_NAME,rid
2024-10-18 21:06:19,GBDT,BENCH_A,csi300,SH000300,Alpha360,r1,topk 5 ndrop 2 HT 10,1334 days,100000.0,70261.12943190357,0.7026112943190357,0.15273552820132372,13376761.057023402,0.00017439879940691017,15205.14930179691,-0.0004488363174807502,-0.29738870568096576,-0.04150280175706928,0.325883460700963,-0.12735473493437907,0.11715139815923115,0.06532024180334924,0.26745618642933977,0.24422782166830315,0.24409042203904954,-0.5665707382254258,-0.17934038697887178,4.112501775295102e-06,0.32572504964420057,1.2625684698758396e-05,0.3046840563473323,0.10682715606219384,0.2673029268200939,0.39964828418842197,0.3994234468799437,-0.522320688163488,0.011373727965491626,0.007031583893901793,0.9251565858357989,0.6422101124131829,'realworld_test','100ec16fd4bc42d88e64516e9f14c614'
2024-10-18 21:20:05,GBDT,BENCH_A,csi300,SH000300,Alpha360,r1,topk 5 ndrop 1 HT 10,1334 days,100000.0,70085.4579635481,0.700854579635481,0.13404662419239807,9837832.214299815,0.0001537062424435298,11153.638707122114,-0.0004488363174807502,-0.29914542036451996,-0.032592411729118156,0.3542607301680102,-0.09200119842145929,0.1185863381155221,0.07423063183130041,0.29817816668564506,0.24894724069303908,0.24880718597551624,-0.5215024672759315,-0.19610009727731714,0.00398967397244195,0.3539102415425934,0.011273123815383538,0.28272614986623523,0.11081271753286046,0.29791905955715536,0.37195578455966893,0.37174652671775643,-0.49496253322677136,0.011373727965491626,0.007031583893901793,0.9251565858357989,0.6422101124131829,'realworld_test','100ec16fd4bc42d88e64516e9f14c614'
2024-10-18 21:52:58,GBDT,BENCH_A,csi300,SH000300,Alpha360,r1,topk 10 ndrop 2 HT 10,1334 days,100000.0,147765.67257546075,1.4776567257546074,0.130234196899141,15987803.25745425,0.00015234251782527268,18649.59201921366,-0.0004488363174807502,0.47765672575461116,0.14971693224226176,0.3011740128487211,0.49711105824214713,1.3358539684252149,0.25653997580268034,0.24282504719695167,1.0564806998456164,1.05588633653565,-0.3811052437986222,0.6916524252618947,0.18597445148467667,0.3012908075389575,0.6172589632049422,1.673933216318309,0.29279749504509517,0.2429704498860028,1.2050745067248725,1.2043965463298767,-0.36109993342121405,0.011373727965491626,0.007031583893901793,0.9251565858357989,0.6422101124131829,'realworld_test','100ec16fd4bc42d88e64516e9f14c614'
2024-10-19 10:11:57,GBDT,BENCH_A,csi300,SH000300,Alpha360,r1,topk 10 ndrop 2 HT 10,1334 days,100000.0,87622.36081283723,0.8762236081283723,0.12852535774659288,11075386.777371207,0.00016645488092393657,14154.757073626248,-0.0004488363174807502,-0.12377639187162615,0.005749825635995124,0.287325103611256,0.020011567258580023,0.3764937431834088,0.11257286919641367,0.23289347524470197,0.4833663505520409,0.4830944144683222,-0.34596151443495166,0.016082915373511808,0.04536608729589203,0.28724930712113866,0.15793279973608523,0.595836702526285,0.15218913085631058,0.2329735403223426,0.6532464186522703,0.6528789100894822,-0.2965834187029055,0.008197393554040087,0.008516993882528748,0.9260489573199981,0.6414572741336548,'realworld_test','fb2194b490b94160ab193204ef4bdd4c'
2024-10-19 14:05:47,GBDT,BENCH_A,csi300,SH000300,Alpha360,r1,topk 10 ndrop 2 HT 10,1334 days,100000.0,147765.67257546083,1.4776567257546083,0.130234196899141,15987803.257454254,0.0001523425178252727,18649.592019213665,-0.0004488363174807502,0.4776567257546094,0.14971693224226196,0.3011740128487213,0.49711105824214746,1.3358539684252113,0.2565399758026805,0.2428250471969519,1.0564806998456162,1.0558863365356503,-0.38110524379862265,0.691652425261891,0.18597445148467684,0.30129080753895765,0.6172589632049423,1.673933216318309,0.29279749504509545,0.24297044988600303,1.2050745067248725,1.2043965463298767,-0.36109993342121405,0.011373727965491626,0.007031583893901793,0.9251565858357989,0.6422101124131829,'realworld_test','100ec16fd4bc42d88e64516e9f14c614'
