date,symbol,open,high,low,close,volume,adjclose,dividends,splits,change,factor
2020-11-12,sz300884,0.9138381307536259,1.0913838862816976,0.9138381307536259,1.0,1430842406.4580078,36.20237350463867,0.0,0.0,,0.02741514496841356
2020-11-13,sz300884,0.9216710270467982,1.0652742513398854,0.9142298120337725,0.9694517575170689,1139616919.7734752,35.09645462036133,0.0,0.0,-0.030548271525224657,0.027415145789701164
2020-11-16,sz300884,0.9355092025492578,0.9592689462951013,0.8875979565809061,0.9302872900407629,892767401.9867057,33.67860794067383,0.0,0.0,-0.04039855398827452,0.027415145250077655
2020-11-17,sz300884,0.913838140561189,1.0151436825104263,0.9033943155394134,0.9746736513900868,1013319781.2326442,35.285499572753906,0.0,0.0,0.04771253071805481,0.027415145262640467
2020-11-18,sz300884,0.9530026482518252,0.9710183083062824,0.8992167009533015,0.912532619055271,886859687.3311116,33.03584671020508,0.0,0.0,-0.06375568772993279,0.027415143959432817
2020-11-19,sz300884,0.8926893490534544,0.8992167396627687,0.8524804555713112,0.8642298109583166,687129756.3473405,31.28717041015625,0.0,0.0,-0.05293273280500588,0.027415145139599528
2020-11-20,sz300884,0.8537859391867137,0.8774151665508054,0.8330287532511521,0.8737598173280218,643014136.7776489,31.632179260253903,0.0,0.0,0.011027160399708302,0.027415145315997595
2020-11-23,sz300884,0.8639686957788092,0.8639686957788092,0.833812077179866,0.8357702944131521,446969389.42493874,30.25686836242676,0.0,0.0,-0.04347824005387979,0.027415145846487132
2020-11-24,sz300884,0.8339425570566638,0.8644908805111474,0.8339425570566638,0.8462141348449221,433022665.1713195,30.634960174560547,0.0,0.0,0.012496110000854488,0.02741514464445701
2020-11-25,sz300884,0.848825135369674,0.8530026550442998,0.8056136302730035,0.8079635014306811,458888235.17671937,29.25019645690918,0.0,0.0,-0.04520212323741979,0.027415146076157765
2020-11-26,sz300884,0.8028720764144266,0.820757220775969,0.8003916889032006,0.8087467802430603,315074531.6394557,29.278553009033203,0.0,0.0,0.0009694841593537173,0.027415145092985097
2020-11-27,sz300884,0.8093995341862997,0.8133159686172454,0.7678851618895058,0.7934726590015948,412850989.9723791,28.72559356689453,0.0,0.0,-0.01888617822679428,0.027415145597100864
2020-11-30,sz300884,0.7879895875059921,0.7963446787719449,0.7789817571859917,0.784595323508849,233027439.2071546,28.40421295166016,0.0,0.0,-0.011187926923996283,0.027415144850477573
2020-12-01,sz300884,0.7870757388850796,0.7951697452742406,0.7813316559220371,0.7878590466937858,240154987.42152995,28.522367477416992,0.0,0.0,0.004159717974920207,0.027415145821825866
2020-12-02,sz300884,0.7878590395517426,0.8157963554659567,0.7836815199537415,0.8010444419974847,336629144.47503906,28.99971008300781,0.0,0.0,0.016735737973183618,0.02741514557330406
2020-12-03,sz300884,0.7983028905346534,0.7983028905346534,0.7599216984616293,0.7599216984616293,374948085.28601056,27.510969161987305,0.0,0.0,-0.05133637561657933,0.027415144665051377
2020-12-04,sz300884,0.7593995713833097,0.7738904000264563,0.7519583039615504,0.7625326980838725,228540345.84721965,27.605493545532227,0.0,0.0,0.0034358226693833593,0.02741514622625318
2020-12-07,sz300884,0.7622715998782486,0.7685379054625103,0.7535248544323827,0.766188034332132,176443563.08583027,27.73782539367676,0.0,0.0,0.004793695212462756,0.027415145757666154
2020-12-08,sz300884,0.7650130634769495,0.7701044595802807,0.7375979180470007,0.7390339649123546,242151040.8165793,26.754783630371094,0.0,0.0,-0.03544046548459212,0.027415145429948846
2020-12-09,sz300884,0.7396867270096049,0.7433420763613878,0.7125327181935731,0.725195846045962,280653764.1797315,26.25381088256836,0.0,0.0,-0.01872463526934176,0.02741514628349198
