instrument,score,label
SZ000538,0.13310245,-0.000934124
SZ002352,0.13301836,-0.02667731
SH600029,0.13298151,-0.012389421
SH601006,0.13297386,-0.010385752
SH688187,0.13293138,-0.0022518039
SZ002252,0.13268362,0.029113889
SZ000617,0.13263176,0.019572973
SH601138,0.13260901,-0.021057308
SZ002129,0.13257903,-0.020013332
SH600332,0.1325135,0.0067659616
SH600941,0.1323348,-0.0007636547
SH601155,0.1323112,0.018591046
SH600660,0.13229859,0.021878242
SZ000999,0.13229851,-0.008027852
SH688561,0.13217273,-0.070097625
SZ002252,0.13210265,-0.001342237
SH603296,0.13197145,0.020603895
SZ002714,0.13193771,0.02103293
SH601816,0.13178603,-0.01821196
SH601633,0.1317696,0.033868074
SH603993,0.13176551,-0.038107753
SH600000,0.13173263,0.0070421696
SZ002410,0.13163325,-0.0648011
SH600026,0.13144912,-0.023474276
SH600346,0.13141693,0.017585874
SZ300896,0.13128924,0.0038750172
SH600837,0.13126072,-0.0044365525
SZ000938,0.13118988,0.09983432
SZ002001,0.13097356,-0.0034984946
SH600795,0.1309701,0.0
SZ300142,0.13096935,0.19972837
SH601888,0.13092868,-0.034092784
SH603486,0.13082796,0.010647893
SZ000776,0.13040851,0.015032291
SH601988,0.13039604,0.010660887
SH601100,0.13030165,-0.024979532
SH600196,0.13026002,0.016963124
SZ300274,0.13014346,-0.023233175
SH601328,0.13014184,-0.018030524
SH601988,0.1300974,0.0022420883
SH601238,0.13006698,-0.036830306
SH600426,0.1300513,0.0124669075
SZ300782,0.12991822,0.0032553673
SH600346,0.12984776,-0.032586575
SZ300751,0.12979932,0.19986784
SZ002142,0.12971741,-0.008517027
SH600886,0.12945512,0.031270266
SH601006,0.12933275,-0.0014084578
SH601998,0.1293222,0.02710414
SZ000876,0.12918817,0.019347072
SH601800,0.12905177,0.036395192
SZ300433,0.12894179,0.18777502
SZ000807,0.12883407,0.057456493
SZ002252,0.12876755,-0.011764646
SH600009,0.12863196,-0.01493001
SH600018,0.12860629,0.0019723177
SH600900,0.12856893,0.012314439
SZ300433,0.1285521,0.03330493
SZ002460,0.12850064,-0.04500544
SZ002736,0.1284019,-0.002664268
SZ000977,0.12837966,0.026340365
SH600233,0.12816308,0.0056134462
SH600547,0.12806757,-0.002041638
SH601838,0.12788461,0.009153366
SH601901,0.12787089,0.049586892
SZ002841,0.12751006,0.0012048483
SZ000895,0.12747693,0.010883808
SZ002410,0.12739208,-0.024819016
SH600845,0.12729253,0.058502555
SH600011,0.12717667,0.004184127
SZ300498,0.12713379,0.015535951
SZ000661,0.12698628,-0.0014762878
SH688008,0.12696345,0.20005989
SH688008,0.1269302,0.00015866756
SZ002555,0.12668414,0.06312847
SZ300142,0.126656,-0.028469801
SH601336,0.12649737,-0.014206231
SZ300274,0.12646116,-0.003938794
SH600606,0.12617195,-0.014285803
SH600016,0.12615514,0.0
SZ002027,0.12611723,-0.0030864477
SZ002938,0.12607494,0.004676342
SH600039,0.12603605,-0.013008118
SZ002460,0.12596923,0.010608792
SZ300274,0.12577902,0.024052978
SH603260,0.12562108,0.010274053
SH600584,0.12550628,0.09991503
SH601059,0.1254381,-0.010615766
SH600732,0.12538874,-0.0041667223
SZ000708,0.12525645,-0.01666665
SH601901,0.1252383,-0.0127388835
SZ300750,0.12523091,0.030359745
SZ002129,0.12516804,-0.009216547
SH601009,0.12509581,0.0
SH600438,0.12509209,-0.017857194
SZ300450,0.12508143,0.20000005
SH603259,0.12488943,-0.014030576
SH601117,0.12473963,0.012784004
SZ001965,0.12462008,0.009482861
SZ002466,0.12461783,0.0062856674
SH601881,0.12457532,-0.010869563
SZ002129,0.124548405,0.07818532
SH601838,0.12449066,0.013932824
SH600276,0.124416456,-0.0056892037
SH601398,0.12437683,-0.013050556
SH600176,0.124315605,0.006072879
SH601788,0.12426633,0.00673604
SH600438,0.124212444,-0.012687385
SZ000625,0.124183774,-0.01248163
SH600050,0.1241515,-0.0108459
SH601390,0.124133244,0.031203628
SH688008,0.123859316,-0.0011402965
SH600600,0.12366858,-0.029869378
SZ000792,0.12361041,-0.011918962
SZ300014,0.12348676,-0.009259224
SH600025,0.123472214,-0.020141006
SH601236,0.12347141,-0.029595017
SH601633,0.12329376,-0.014178097
SH600346,0.12324868,0.015117168
SZ000725,0.12322849,0.05592835
SH601236,0.12322037,0.007052183
SZ000733,0.12321323,0.081651926
SZ000538,0.12313771,-0.0050474405
SZ000876,0.12313621,-0.017580152
